full_text,case_folding CPMK2,preprocessing CPMK3,label
Kenaikan cukai rokok adalah cara paling efektif melindungi anak dari jerat rokok. Tapi sayangnya Menkeu Purbaya lebih banyak membuka ruang diskusi untuk industri rokok ketimbang mendukung kesehatan anak Indonesia. #SaveOurSurroundings #LindungiKininanti #RokokHarusMahal https://t.co/FYsfvlKyGS,kenaikan cukai rokok adalah cara paling efektif melindungi anak dari jerat rokok. tapi sayangnya menkeu purbaya lebih banyak membuka ruang diskusi untuk industri rokok ketimbang mendukung kesehatan anak indonesia. #saveoursurroundings #lindungikininanti #rokokharusmahal https://t.co/fysfvlkygs,naik cukai rokok efektif lindung anak jerat rokok sayang buka ruang diskusi industri rokok ketimbang dukung sehat anak indonesia saveoursurroundings lindungikininanti rokokharusmahal,neutral
@ARSIPAJA Dari pidato ini kita jadi paham betapa percayanya Prabowo ke Menkeu Purbaya. Pantes aja Menkeu pede bilang bekingnya Presiden laporan apa2 langsung ke presiden dan kemudian berani ambil kebijakan secara cepat. Semoga aja hasilnya baik buat ekonomi kita,@arsipaja dari pidato ini kita jadi paham betapa percayanya prabowo ke menkeu purbaya. pantes aja menkeu pede bilang bekingnya presiden laporan apa2 langsung ke presiden dan kemudian berani ambil kebijakan secara cepat. semoga aja hasilnya baik buat ekonomi kita,pidato paham betapa percaya prabowo pantes aja pede bilang beking presiden lapor langsung presiden berani ambil bijak cepat moga aja hasil ekonomi,positive
Menteri Keuangan Purbaya Yudhi Sadewa melontarkan kritik keras terhadap kinerja PT Pertamina (Persero) terkait pembangunan kilang baru. Purbaya menilai lambatnya pembangunan kilang adalah akar masalah membengkaknya subsidi energi negara. Dalam rapat kerja bersama Komisi XI DPR https://t.co/W63TjZPErm,menteri keuangan purbaya yudhi sadewa melontarkan kritik keras terhadap kinerja pt pertamina (persero) terkait pembangunan kilang baru. purbaya menilai lambatnya pembangunan kilang adalah akar masalah membengkaknya subsidi energi negara. dalam rapat kerja bersama komisi xi dpr https://t.co/w63tjzperm,menteri uang yudhi sadewa lontar kritik keras kerja pt pertamina persero kait bangun kilang nilai lambat bangun kilang akar bengkak subsidi energi negara rapat kerja komisi xi dpr,neutral
@BuYungBin1 @CakKhum Langkah pa Purbaya yang terlihat baru Insentif Fiskal kalau insenif ini dominan jatuh ke sektor konsumsi akan menghasilkan pertumbuhan yang rapuh kalau bisa hendaknya mengakselerasi sektor industri pengolahan apalagi kalau sifatnya ekspor atau substitusi impor maka,@buyungbin1 @cakkhum langkah pa purbaya yang terlihat baru insentif fiskal kalau insenif ini dominan jatuh ke sektor konsumsi akan menghasilkan pertumbuhan yang rapuh kalau bisa hendaknya mengakselerasi sektor industri pengolahan apalagi kalau sifatnya ekspor atau substitusi impor maka,langkah pa insentif fiskal insenif dominan jatuh sektor konsumsi hasil tumbuh rapuh akselerasi sektor industri olah sifat ekspor substitusi impor,negative
Setelah BNI Menkeu Purbaya Bakal Sidak Bank Himbara Lain https://t.co/FY80KDbBoi,setelah bni menkeu purbaya bakal sidak bank himbara lain https://t.co/fy80kdbboi,bni sidak bank himbara,neutral
Menkeu Purbaya Ancam Copot Dirut Pertamina Janji Bangun 7 Kilang Minyak Tak Pernah Terealisasi https://t.co/SB6kVJEMMt,menkeu purbaya ancam copot dirut pertamina janji bangun 7 kilang minyak tak pernah terealisasi https://t.co/sb6kvjemmt,ancam copot dirut pertamina janji bangun kilang minyak realisasi,positive
@BosPurwa Selama ini pertamina &amp; Srimulyani AFK kah? Gak ada sangar2 kyk lord purbaya ini.. jd khawatir keselamatan beliau kn dnegara ini berkata jujur berbahaya,@bospurwa selama ini pertamina &amp; srimulyani afk kah? gak ada sangar2 kyk lord purbaya ini.. jd khawatir keselamatan beliau kn dnegara ini berkata jujur berbahaya,pertamina amp srimulyani afk sangar kyk lord khawatir selamat beliau kn dnegara jujur bahaya,positive
Menteri Keuangan Purbaya Yudhi Sadewa menegaskan bahwa pemerintah telah melaksanakan kewajibannya dengan membayarkan anggaran subsidi kepada PT PLN (Persero) dan PT Pertamina (Persero). Kepastian pembayaran ini disampaikan langsung oleh Purbaya dalam Rapat Komisi XI Dewan https://t.co/w8BeOncuXJ,menteri keuangan purbaya yudhi sadewa menegaskan bahwa pemerintah telah melaksanakan kewajibannya dengan membayarkan anggaran subsidi kepada pt pln (persero) dan pt pertamina (persero). kepastian pembayaran ini disampaikan langsung oleh purbaya dalam rapat komisi xi dewan https://t.co/w8beoncuxj,menteri uang yudhi sadewa perintah laksana wajib bayar anggar subsidi pt pln persero pt pertamina persero pasti bayar langsung rapat komisi xi dewan,neutral
@SUARAKRISTEN1 @VIVAcoid Menurut berita terbaru dari Viva CNBC dan Detik tunggakan kompensasi BUMN mencapai Rp 55 triliun untuk kuartal I dan II 2025. Menteri Keuangan Purbaya berencana melunasinya mulai Oktober agar BUMN tak rugi terus.,@suarakristen1 @vivacoid menurut berita terbaru dari viva cnbc dan detik tunggakan kompensasi bumn mencapai rp 55 triliun untuk kuartal i dan ii 2025. menteri keuangan purbaya berencana melunasinya mulai oktober agar bumn tak rugi terus.,berita baru viva cnbc detik tunggak kompensasi bumn capai rupiah triliun kuartal i ii menteri uang rencana lunas oktober bumn rugi,neutral
Purbaya Bantah Minta Bank BUMN Naikkan Bunga Deposito Valas ke 4%: Itu Rumor https://t.co/7G0Fm8qVtr,purbaya bantah minta bank bumn naikkan bunga deposito valas ke 4%: itu rumor https://t.co/7g0fm8qvtr,bantah bank bumn naik bunga deposito valas rumor,positive
Terima kasih kepada Ibu Sri Mulyani Indrawati atas dedikasi integritas dan kepemimpinan luar biasa selama menjabat sebagai Menteri Keuangan Republik Indonesia. Selamat datang dan selamat mengemban amanah kepada Bapak Purbaya Yudhi Sadewa sebagai Menteri Keuangan yang baru. https://t.co/VSMqaFBcdP,terima kasih kepada ibu sri mulyani indrawati atas dedikasi integritas dan kepemimpinan luar biasa selama menjabat sebagai menteri keuangan republik indonesia. selamat datang dan selamat mengemban amanah kepada bapak purbaya yudhi sadewa sebagai menteri keuangan yang baru. https://t.co/vsmqafbcdp,terima kasih sri mulyani indrawati dedikasi integritas pimpin jabat menteri uang republik indonesia selamat selamat emban amanah yudhi sadewa menteri uang,positive
https://t.co/NsC1rtYkdb ni orang berani banget menkeu purbaya lawan mafia2 migas singapore riza khalid dll,https://t.co/nsc1rtykdb ni orang berani banget menkeu purbaya lawan mafia2 migas singapore riza khalid dll,ni orang berani banget lawan mafia migas singapore riza khalid,positive
@sharpandshark Buka dong pak ! Kita dukung Purbaya jadi pahlawan.! Kalau ada statemen seperti itu.,@sharpandshark buka dong pak ! kita dukung purbaya jadi pahlawan.! kalau ada statemen seperti itu.,buka dukung pahlawan statemen,positive
Bunga Deposito Valas Naik Purbaya: Bukan Perintah Saya atau Presiden https://t.co/aOpJy7d2i0,bunga deposito valas naik purbaya: bukan perintah saya atau presiden https://t.co/aopjy7d2i0,bunga deposito valas perintah presiden,neutral
Pada 10 September 2025 Menkeu Purbaya ngajuin usulan penarikan dana Rp200T tapi masih mengendap di Bank Indonesia frenn. Dana ini asalnya dari SAL &amp; SILPA. Tapi masalahnya dana segede ini belum ngasih dampak nyata pada ekonomi. Kok bisa yaa? Yukk kita cari tau bareng MinJA!,pada 10 september 2025 menkeu purbaya ngajuin usulan penarikan dana rp200t tapi masih mengendap di bank indonesia frenn. dana ini asalnya dari sal &amp; silpa. tapi masalahnya dana segede ini belum ngasih dampak nyata pada ekonomi. kok bisa yaa? yukk kita cari tau bareng minja!,september ngajuin usul tari dana rupiah triliun endap bank indonesia frenn dana asal sal amp silpa dana gede ngasih dampak nyata ekonomi yaa yukk cari tau bareng minja,negative
Tarik 200T dari BI Strategi Purbaya untuk Perekonomian Indonesia A Thread https://t.co/q7SGlYJjsM,tarik 200t dari bi strategi purbaya untuk perekonomian indonesia a thread https://t.co/q7sglyjjsm,tarik triliun bi strategi ekonomi indonesia a thread,positive
@Untuk_Pelupa Berdasarkan pernyataan Menkeu Purbaya Yudhi Sadewa di rapat dengan DPR harga keekonomian Pertalite memang Rp 11.700/liter (disubsidi jadi Rp 10.000) dan LPG 3 kg Rp 42.750/tabung (disubsidi jadi Rp 12.750). Ini untuk menjaga keterjangkauan tapi subsidi ditargetkan lebih tepat,@untuk_pelupa berdasarkan pernyataan menkeu purbaya yudhi sadewa di rapat dengan dpr harga keekonomian pertalite memang rp 11.700/liter (disubsidi jadi rp 10.000) dan lpg 3 kg rp 42.750/tabung (disubsidi jadi rp 12.750). ini untuk menjaga keterjangkauan tapi subsidi ditargetkan lebih tepat,dasar nyata yudhi sadewa rapat dpr harga ekonomi pertalite rupiah liter subsidi rupiah lpg kilogram rupiah tabung subsidi rupiah jaga jangkau subsidi target,neutral
Koq saya mulai suka sama Purbaya? ,koq saya mulai suka sama purbaya? ,koq suka,positive
Pemerintah Masih Berutang Rp55 Triliun ke BUMN Purbaya Janji Percepat Pembayaran ke Depan https://t.co/wuuIytxz11,pemerintah masih berutang rp55 triliun ke bumn purbaya janji percepat pembayaran ke depan https://t.co/wuuiytxz11,perintah utang rupiah triliun bumn janji cepat bayar,positive
GG juga Menkeu Purbaya lansung skak DPR gitu aja nyuruh bilang bangun kilang Pertamina karena kebanyakan impor tanpa babibu lansung to the point apa yang merugikan negara di omongin lansung bagus juga Mentri dari luar Partai gini.,gg juga menkeu purbaya lansung skak dpr gitu aja nyuruh bilang bangun kilang pertamina karena kebanyakan impor tanpa babibu lansung to the point apa yang merugikan negara di omongin lansung bagus juga mentri dari luar partai gini.,gg lansung skak dpr gitu aja nyuruh bilang bangun kilang pertamina banyak impor babibu lansung to the point rugi negara omongin lansung bagus tri partai gin,positive
Pengusaha Nantikan Gebrakan 'Patroli' Menkeu Purbaya Dukung Belanja Pemerintah Optimal #rupiah #dolar https://t.co/AKq2AqkgnW,pengusaha nantikan gebrakan 'patroli' menkeu purbaya dukung belanja pemerintah optimal #rupiah #dolar https://t.co/akq2aqkgnw,usaha nanti gebrak patroli dukung belanja perintah optimal rupiah dolar,neutral
Kebijakan Menkeu Purbaya Belum Berdampak ke UMKM https://t.co/H5zKEvsxJO via @InvestorID,kebijakan menkeu purbaya belum berdampak ke umkm https://t.co/h5zkevsxjo via @investorid,bijak dampak umkm via,negative
@MarahIchsan GEBRAK PURBAYA ,@marahichsan gebrak purbaya ,gebrak,negative
@toimero @BosPurwa Pertamina disebut males-malesan oleh Menkeu Purbaya karena lambat bangun kilang baru padahal impor BBM rugikan negara miliaran dolar. Alasannya: proyek rumit butuh investor dan kapasitas existing over. Tapi ya biaya bangun kilang memang mahal bisa Rp90 triliun per unit ,@toimero @bospurwa pertamina disebut males-malesan oleh menkeu purbaya karena lambat bangun kilang baru padahal impor bbm rugikan negara miliaran dolar. alasannya: proyek rumit butuh investor dan kapasitas existing over. tapi ya biaya bangun kilang memang mahal bisa rp90 triliun per unit ,pertamina males malesan lambat bangun kilang impor bbm rugi negara miliar dolar alas proyek rumit butuh investor kapasitas existing over biaya bangun kilang mahal rupiah triliun unit,negative
Kalau mau capai pertumbuhan ekonomi kebijakan harus jelas dan bisa dieksekusi bukan sekadar janji.. #SaveOurSurroundings #LindungiKiniNanti https://t.co/Y4pED17Zvl,kalau mau capai pertumbuhan ekonomi kebijakan harus jelas dan bisa dieksekusi bukan sekadar janji.. #saveoursurroundings #lindungikininanti https://t.co/y4ped17zvl,capai tumbuh ekonomi bijak eksekusi janji saveoursurroundings lindungikininanti,negative
Semoga pemerintah makin serius bikin kebijakan yang tepat termasuk soal cukai rokok.. #SaveOurSurroundings #LindungiKiniNanti https://t.co/zxyuNpP7sh,semoga pemerintah makin serius bikin kebijakan yang tepat termasuk soal cukai rokok.. #saveoursurroundings #lindungikininanti https://t.co/zxyunpp7sh,moga perintah serius bikin bijak cukai rokok saveoursurroundings lindungikininanti,negative
rapat dengan komisi 11 pak purbaya bilang bahwa pertamina omon2 mau bikin 7 kilang baru tapi ga pernah jadi investor china mau bikin kilang kontrak 30 tahun juga ga jadi masuk lalu nambahin 7 kilang ga pernah jadi dibangun satupun malah bakar kilang yang sudah ada wow,rapat dengan komisi 11 pak purbaya bilang bahwa pertamina omon2 mau bikin 7 kilang baru tapi ga pernah jadi investor china mau bikin kilang kontrak 30 tahun juga ga jadi masuk lalu nambahin 7 kilang ga pernah jadi dibangun satupun malah bakar kilang yang sudah ada wow,rapat komisi bilang pertamina omon bikin kilang investor china bikin kilang kontrak masuk nambahin kilang bangun satu bakar kilang wow,positive
Dari kasus ini semoga komunikasi pemerintah ke depan bisa lebih terarah dan rapi.. #SaveOurSurroundings #LindungiKiniNanti https://t.co/IL5a8jKMEU,dari kasus ini semoga komunikasi pemerintah ke depan bisa lebih terarah dan rapi.. #saveoursurroundings #lindungikininanti https://t.co/il5a8jkmeu,moga komunikasi perintah arah rapi saveoursurroundings lindungikininanti,neutral
ini purbaya mau menyalurkan duit sisa 250 T Ini DPR tolong BUMN korupsinya dibenahi Nggak nyambung.,ini purbaya mau menyalurkan duit sisa 250 t ini dpr tolong bumn korupsinya dibenahi nggak nyambung.,salur duit sisa triliun dpr bumn korupsi benah nyambung,positive
Purbaya Ancam Ganti Dirjen Anggaran Jika Subsidi Telat Dicairkan https://t.co/gjJQPgz68E,purbaya ancam ganti dirjen anggaran jika subsidi telat dicairkan https://t.co/gjjqpgz68e,ancam ganti dirjen anggar subsidi telat cair,neutral
@BosPurwa Sekarang itu jadi seneng ngikutin berita pak Menkeu kebijakan dan daya fikirnya bagus. Noted menteri terbaik era Prabowo 1. Pak Amran (menteri pertanian) 2. Pak Purbaya (menteri keuangan),@bospurwa sekarang itu jadi seneng ngikutin berita pak menkeu kebijakan dan daya fikirnya bagus. noted menteri terbaik era prabowo 1. pak amran (menteri pertanian) 2. pak purbaya (menteri keuangan),neng ngikutin berita bijak daya fikirnya bagus noted menteri baik era prabowo amran menteri tani menteri uang,positive
Mulut si bapak benar-benar dah... Purbaya &gt;&gt;&gt; ahok...,mulut si bapak benar-benar dah... purbaya &gt;&gt;&gt; ahok...,mulut si gt gt gt ahok,negative
Dengar RDP antara menteri keuangan Purbaya dan anggota DPR komisi mbuhlah. Cuma semakin meyakinkan anggota anggota DPR ini kosong kosong isinya.,dengar rdp antara menteri keuangan purbaya dan anggota dpr komisi mbuhlah. cuma semakin meyakinkan anggota anggota dpr ini kosong kosong isinya.,dengar rdp menteri uang anggota dpr komisi mbuhlah anggota anggota dpr kosong kosong isi,positive
@ARSIPAJA Purbaya saya yakin bisa. Ahy yang bakalan nggak ada hasilnya.,@arsipaja purbaya saya yakin bisa. ahy yang bakalan nggak ada hasilnya.,ahy hasil,positive
Purbaya: ga ada lagi cerita pajak meres. Jadi selama 10 belakangan ini byk meres Buka luka lama siapa yg mimpin. https://t.co/I8X4pDFp9g,purbaya: ga ada lagi cerita pajak meres. jadi selama 10 belakangan ini byk meres buka luka lama siapa yg mimpin. https://t.co/i8x4pdfp9g,cerita pajak meres byk meres buka luka mimpin,positive
Menteri Keuangan Purbaya Yudhi Sadewa buka suara karena dikritik tidak menaikkan cukai rokok tahun depan. Simak pernyataannya. https://t.co/LBT4JeoIa3,menteri keuangan purbaya yudhi sadewa buka suara karena dikritik tidak menaikkan cukai rokok tahun depan. simak pernyataannya. https://t.co/lbt4jeoia3,menteri uang yudhi sadewa buka suara kritik naik cukai rokok simak nyata,negative
Nyimak!! Baru kali ini ya ada transparansi keuangan dari menkeu. Dulu jeng sri beritanya cuma defisit melulu yg sampai ke kuping rakyat. Uang sitaan dari para koruptor pada kemana yach? Rakyat butuh penjelasan juga smoga pak mentri purbaya bisa kasih info. ,nyimak!! baru kali ini ya ada transparansi keuangan dari menkeu. dulu jeng sri beritanya cuma defisit melulu yg sampai ke kuping rakyat. uang sitaan dari para koruptor pada kemana yach? rakyat butuh penjelasan juga smoga pak mentri purbaya bisa kasih info. ,nyimak kali transparansi uang jeng sri berita defisit melulu kuping rakyat uang sita koruptor yach rakyat butuh jelas smoga tri kasih info,positive
@profesor_saham kelas emg lord purbaya,@profesor_saham kelas emg lord purbaya,kelas emg lord,positive
Menteri Keuangan Purbaya Yudhi Sadewa pastikan Himpunan Bank Milik Negara atau Himbara tidak gunakan likuiditas dari kas negara 200 triliun rupiah untuk beli USD sehingga sebabkan nilai tukar rupiah melemah. Menkeu akan lakukan inspeksi mendadak atau sidak kepada seluruh Himbara,menteri keuangan purbaya yudhi sadewa pastikan himpunan bank milik negara atau himbara tidak gunakan likuiditas dari kas negara 200 triliun rupiah untuk beli usd sehingga sebabkan nilai tukar rupiah melemah. menkeu akan lakukan inspeksi mendadak atau sidak kepada seluruh himbara,menteri uang yudhi sadewa pasti himpun bank milik negara himbara likuiditas kas negara triliun rupiah beli usd sebab nilai tukar rupiah lemah laku inspeksi dadak sidak himbara,neutral
Subsidi Energi Meningkat Capai Rp218 T Hingga Agustus 2025 Menkeu Purbaya Yudhi Sadewa mengungkapkan ada lonjakan konsumsi barang bersubsidi energi. Hingga 31 Agustus 2025 realisasi subsidi dan kompensasi mencapai sekitar Rp218 triliun. Kenaikan ini dipengaruhi oleh fluktuasi https://t.co/HWEPnuHYUl,subsidi energi meningkat capai rp218 t hingga agustus 2025 menkeu purbaya yudhi sadewa mengungkapkan ada lonjakan konsumsi barang bersubsidi energi. hingga 31 agustus 2025 realisasi subsidi dan kompensasi mencapai sekitar rp218 triliun. kenaikan ini dipengaruhi oleh fluktuasi https://t.co/hwepnuhyul,subsidi energi tingkat capai rupiah triliun agustus yudhi sadewa lonjak konsumsi barang subsidi energi agustus realisasi subsidi kompensasi capai rupiah triliun naik pengaruh fluktuasi,neutral
Menkeu Purbaya pastikan bila ada kekurangan bayar Danantara dan BUMN segera lapor agar dia bisa selesaikan cepat.,menkeu purbaya pastikan bila ada kekurangan bayar danantara dan bumn segera lapor agar dia bisa selesaikan cepat.,pasti kurang bayar danantara bumn lapor selesai cepat,positive
@abu_waras Soga pak @ipung_purbaya @KemenkeuRI tetap cerdas dan tidak berubah.,@abu_waras soga pak @ipung_purbaya @kemenkeuri tetap cerdas dan tidak berubah.,soga cerdas ubah,positive
haaaahhh LPG 12.750 darimana Pak Purbaya????? udah sidak ke lapangan?,haaaahhh lpg 12.750 darimana pak purbaya????? udah sidak ke lapangan?,hah lpg darimana sidak lapang,negative
Suka gaya ngomong Menkeu baru Pak Purbaya wkwkwk tipikal org teknik yg pinter ngomong ceplas ceplos tpi terarah dan ga asbun moga stay on character sampe di waktu mendatang,suka gaya ngomong menkeu baru pak purbaya wkwkwk tipikal org teknik yg pinter ngomong ceplas ceplos tpi terarah dan ga asbun moga stay on character sampe di waktu mendatang,suka gaya ngomong tipikal orang teknik pinter ngomong ceplas ceplos tpi arah asbun moga stay on character sampe,positive
Untuk listrik rumah tangga 900 VA Non Subsidi juga sebetulnya masih ditanggung pemerintah senilai Rp 400/kwh atau setara 22% dari harga aslinya yang senilai Rp 1.800/kwh. Dengan demikian harga akhir yang dibayarkan masyarakat ke PLN hanya Rp 1.400/kwh. https://t.co/mh5CgoHwR2. https://t.co/4pBKQwU2BJ,untuk listrik rumah tangga 900 va non subsidi juga sebetulnya masih ditanggung pemerintah senilai rp 400/kwh atau setara 22% dari harga aslinya yang senilai rp 1.800/kwh. dengan demikian harga akhir yang dibayarkan masyarakat ke pln hanya rp 1.400/kwh. https://t.co/mh5cgohwr2. https://t.co/4pbkqwu2bj,listrik rumah tangga va non subsidi tanggung perintah nila rupiah kwh tara harga asli nila rupiah kwh harga bayar masyarakat pln rupiah kwh,neutral
Kompensasi Energi Lambat Cair Purbaya Peringatkan Ganti Pejabat Kemenkeu https://t.co/ZTHxeSKNaU,kompensasi energi lambat cair purbaya peringatkan ganti pejabat kemenkeu https://t.co/zthxesknau,kompensasi energi lambat cair ingat ganti jabat kemenkeu,neutral
Demikian dikatakan Purbaya dalam rapat dengar pendapat dengan DPR RI Komplek Parlemen Senayan Jakarta Selasa (30/9/2025).,demikian dikatakan purbaya dalam rapat dengar pendapat dengan dpr ri komplek parlemen senayan jakarta selasa (30/9/2025).,rapat dengar dapat dpr republik indonesia komplek parlemen senayan jakarta selasa,neutral
https://t.co/WvTeSEmjXO Menteri Keuangan Purbaya Yudhi Sadewa kecewa dengan sikap Pertamina yang tidak juga membangun kilang baru.,https://t.co/wvtesemjxo menteri keuangan purbaya yudhi sadewa kecewa dengan sikap pertamina yang tidak juga membangun kilang baru.,menteri uang yudhi sadewa kecewa sikap pertamina bangun kilang,neutral
Menteri Keuangan Purbaya Yudhi Sadewa mengaku tak mempermasalahkan protes yang dialamatkan kepada dirinya imbas keputusannya untuk tidak menaikkan cukai rokok. Enggak apa-apa bunganya wangi kok bagus ujar Purbaya di Kompleks Istana Kepresidenan Jakarta Selasa https://t.co/edgLGn0tQt,menteri keuangan purbaya yudhi sadewa mengaku tak mempermasalahkan protes yang dialamatkan kepada dirinya imbas keputusannya untuk tidak menaikkan cukai rokok. enggak apa-apa bunganya wangi kok bagus ujar purbaya di kompleks istana kepresidenan jakarta selasa https://t.co/edglgn0tqt,menteri uang yudhi sadewa aku masalah protes alamat imbas putus naik cukai rokok bunga wangi bagus kompleks istana presiden jakarta selasa,positive
PURBAYA Serang Pertamina: Mereka Pemalas https://t.co/Jpr0sG2m7X,purbaya serang pertamina: mereka pemalas https://t.co/jpr0sg2m7x,serang pertamina malas,negative
Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa blak-blakan kr Komisi XI DPR RI yang mempertanyakan klaim PT Pertamina (Persero) dan PT PLN (Persero) soal pembayaran subsidi dan kompensasi tahun 2024. https://t.co/gyVoFkh50M,menteri keuangan (menkeu) purbaya yudhi sadewa blak-blakan kr komisi xi dpr ri yang mempertanyakan klaim pt pertamina (persero) dan pt pln (persero) soal pembayaran subsidi dan kompensasi tahun 2024. https://t.co/gyvofkh50m,menteri uang yudhi sadewa blak blakan kr komisi xi dpr republik indonesia klaim pt pertamina persero pt pln persero bayar subsidi kompensasi,neutral
@PartaiSocmed sepertinya ini didengar Pak Menkeu Purbaya,@partaisocmed sepertinya ini didengar pak menkeu purbaya,dengar,neutral
 Ketika Menkeu Purbaya tidak menaikkan cukai hal tersebut merupakan pelanggaran terhadap UU Cukai dan konstitusi yang memandatkan bahwa cukai didesain untuk pengendalian konsumsi. -Tulus Abadi Sekretaris Jenderal Komnas Pengendalian Tembakau. #SaveOurSurroundings, ketika menkeu purbaya tidak menaikkan cukai hal tersebut merupakan pelanggaran terhadap uu cukai dan konstitusi yang memandatkan bahwa cukai didesain untuk pengendalian konsumsi. -tulus abadi sekretaris jenderal komnas pengendalian tembakau. #saveoursurroundings,naik cukai langgar uu cukai konstitusi mandat cukai desain kendali konsumsi tulus abadi sekretaris jenderal komnas kendali tembakau saveoursurroundings,negative
 Fokus Menteri Keuangan Baru Presiden melantik Purbaya Yudhi Sadewa sebagai Menteri Keuangan RI 🇮🇩. Rp200 Triliun ditempatkan di 5 Bank BUMN untuk dorong kredit produktif Target utama: dukung sektor riil &amp; UMKM agar ekonomi makin bergerak Data BPS menunjukkan https://t.co/M7GBGnOOrd, fokus menteri keuangan baru presiden melantik purbaya yudhi sadewa sebagai menteri keuangan ri 🇮🇩. rp200 triliun ditempatkan di 5 bank bumn untuk dorong kredit produktif target utama: dukung sektor riil &amp; umkm agar ekonomi makin bergerak data bps menunjukkan https://t.co/m7gbgnoord,fokus menteri uang presiden lantik yudhi sadewa menteri uang republik indonesia indonesia rupiah triliun tempat bank bumn dorong kredit produktif target utama dukung sektor riil amp umkm ekonomi gerak data bps,neutral
Menteri Keuangan Purbaya Yudhi Sadewa berjanji memangkas waktu pembayaran kompensasi kepada BUMN. https://t.co/SBg2QOd7cT,menteri keuangan purbaya yudhi sadewa berjanji memangkas waktu pembayaran kompensasi kepada bumn. https://t.co/sbg2qod7ct,menteri uang yudhi sadewa janji mangkas bayar kompensasi bumn,positive
Gimana ini pak Purbaya https://t.co/0bst85LezT,gimana ini pak purbaya https://t.co/0bst85lezt,,negative
VIDEO: Momen Tak Terduga Purbaya Saat Sidak Kantor BNI Langsung Ke Lantai 30 https://t.co/KiCOl5KcVH,video: momen tak terduga purbaya saat sidak kantor bni langsung ke lantai 30 https://t.co/kicol5kcvh,video momen duga sidak kantor bni langsung lantai,neutral
Gua liat2 harga supplemen di tokped jadi pada turun apakah ini purbaya effect???,gua liat2 harga supplemen di tokped jadi pada turun apakah ini purbaya effect???,liat harga supplemen tokped turun effect,positive
 Kami sangat menyayangkan pernyataan Menkeu Purbaya yang mengatakan tidak akan menaikkan cukai setelah beliau bertemu dengan GAPPRI dan perusahaan oligarki rokok lainnya. Bagi kami pernyataan itu menunjukkan bahwa GAPPRI dan perusahaan oligarki rokok mendapat akses istimewa ke, kami sangat menyayangkan pernyataan menkeu purbaya yang mengatakan tidak akan menaikkan cukai setelah beliau bertemu dengan gappri dan perusahaan oligarki rokok lainnya. bagi kami pernyataan itu menunjukkan bahwa gappri dan perusahaan oligarki rokok mendapat akses istimewa ke,sayang nyata naik cukai beliau temu gappri usaha oligarki rokok nyata gappri usaha oligarki rokok akses istimewa,negative
Menguat 0.51% insyaallah semoga akhir tahun bisa 15.000 karena Omongan Purbaya Sukses Bangkitkan Rupiah https://t.co/m93yWLBnON,menguat 0.51% insyaallah semoga akhir tahun bisa 15.000 karena omongan purbaya sukses bangkitkan rupiah https://t.co/m93ywlbnon,kuat insyaallah moga omong sukses bangkit rupiah,positive
Purbaya Awasi Dolar Himbara Ada Apa? https://t.co/lLBcupMIFd,purbaya awasi dolar himbara ada apa? https://t.co/llbcupmifd,awas dolar himbara,neutral
Lord Purbaya ini nggak cuma point plus buat Prabowo tapi juga buat DPR terutama komisi IX. Aku lihat sidang DPR sekarang bisa tembus 9k views gara-gara Lord Purbaya wkwkwkwk.,lord purbaya ini nggak cuma point plus buat prabowo tapi juga buat dpr terutama komisi ix. aku lihat sidang dpr sekarang bisa tembus 9k views gara-gara lord purbaya wkwkwkwk.,lord point plus prabowo dpr komisi ix lihat sidang dpr tembus k views gara gara lord wkwkwkwk,positive
Menteri Keuangan Purbaya Yudhi Sadewa menyatakan bakal mencairkan tunggakan subsidi dan kompensasi tahun berjalan 2025 pada Oktober ini. https://t.co/5cW3OHUbWR,menteri keuangan purbaya yudhi sadewa menyatakan bakal mencairkan tunggakan subsidi dan kompensasi tahun berjalan 2025 pada oktober ini. https://t.co/5cw3ohubwr,menteri uang yudhi sadewa cair tunggak subsidi kompensasi jalan oktober,neutral
Komisi XI DPR dukung keputusan Purbaya dan minta kajian menyeluruh struktur cukai. Tujuannya: berantas praktik ilegal jaga penerimaan negara lindungi jutaan pekerja tembakau.,komisi xi dpr dukung keputusan purbaya dan minta kajian menyeluruh struktur cukai. tujuannya: berantas praktik ilegal jaga penerimaan negara lindungi jutaan pekerja tembakau.,komisi xi dpr dukung putus kaji struktur cukai tuju berantas praktik ilegal jaga terima negara lindung juta kerja tembakau,neutral
Timboel Siregar dari OPSI bilang kebijakan Purbaya bijak karena jaga keseimbangan antara lapangan kerja pendapatan fiskal dan kesehatan. Prioritas utama sekarang: buka lapangan kerja baru.,timboel siregar dari opsi bilang kebijakan purbaya bijak karena jaga keseimbangan antara lapangan kerja pendapatan fiskal dan kesehatan. prioritas utama sekarang: buka lapangan kerja baru.,timboel siregar opsi bilang bijak bijak jaga imbang lapang kerja dapat fiskal sehat prioritas utama buka lapang kerja,positive
